1_topic,1_weight,2_topic,2_weight,3_topic,3_weight,4_topic,4_weight
야구,0.085306431,결제,0.064206197,자막,0.072892481,화면,0.046688227
경기,0.041240732,돈,0.040455317,영화,0.039955977,불편,0.03434395
화질,0.037497209,로그인,0.039758173,드라마,0.034090572,재생,0.033217579
시청,0.036776855,회원,0.024326442,컨텐츠,0.025320039,업데이트,0.033184431
팀,0.030017793,가입,0.020829579,확인,0.01959808,영상,0.025296537
중계,0.026059781,오류,0.019754752,시즌,0.013573632,시청,0.016330187
실시간,0.020213414,구매,0.017750456,설정,0.013488891,연동,0.016107681
동시,0.02020439,구독,0.015605925,콘텐츠,0.012251944,회차,0.014485281
확인,0.020054705,환불,0.013530617,배속,0.010797228,문제,0.01265481
방송,0.015749103,인증,0.013469515,불편,0.010620589,개선,0.012568231
가능,0.014093712,무료,0.012166841,추가,0.010356804,티비,0.0119075
채널,0.012361996,취소,0.01172259,작품,0.010270611,오류,0.011006636
편리,0.011732449,해지,0.01125531,예능,0.008647877,조절,0.010489239
최고,0.011340409,고객,0.010248341,시리즈,0.008003993,버튼,0.009599947
설정,0.011338575,확인,0.009358525,영상,0.008000704,앱,0.009465868
오디오,0.010877274,번호,0.009006918,업데이트,0.007931065,삭제,0.009210871
응원,0.010710019,계정,0.008811561,영어,0.007348499,폰,0.009201084
프로그램,0.009695661,플레이,0.008583051,프로그램,0.006642158,설치,0.009079961
라이브,0.008451144,유료,0.007872629,한국어,0.006575821,로딩,0.008951938
화면,0.008265437,성인,0.007864825,요구,0.006548625,확인,0.008948178
