,keyword,BERT,Electra
0,돈,-0.66793893129771,-0.6666666666666667
1,시리즈,0.32900994379593607,-0.11111111111111116
2,자막,-0.6049618320610688,-0.4166666666666667
3,설치,-0.6784693204310536,-1.0
4,인증,-0.7012448132780084,-0.7647058823529411
5,작품,0.3123197362999588,-0.18181818181818182
6,버튼,-0.6420711974110032,-0.5555555555555556
7,성인,-0.6680497925311204,-0.6470588235294117
8,플레이,-0.5537620411351211,-1.0
9,실시간,0.46634470268638695,-0.2941176470588236
10,컨텐츠,0.2687772925764192,0.25
11,로딩,-0.6960548885077187,-1.0
12,설정,-0.7106382978723406,-1.0
13,최고,0.26946975973487985,-0.16666666666666669
14,취소,-0.7663316582914573,-0.5
15,유료,-0.36340338288057406,-0.41935483870967744
16,재생,-0.6489590811198851,0.0
17,해지,-0.7405063291139241,-0.6000000000000001
18,추가,0.06065224017067977,0.0
19,드라마,0.34986830553116777,0.16666666666666669
20,한국어,-0.37091607943625876,-0.28
21,티비,-0.44885177453027136,-0.39999999999999997
22,화질,0.43830787309048175,0.5789473684210528
23,결제,-0.7621744054360136,-0.5789473684210528
24,폰,-0.5792363364112804,-1.0
25,번호,-0.816849816849817,-0.7142857142857143
26,시청,-0.01704233095107205,0.18518518518518517
27,경기,0.5680000000000001,0.8999999999999999
28,방송,0.4397293972939729,-0.30000000000000004
29,오디오,-0.2119487908961593,0.31034482758620685
30,개선,-0.5311999999999999,-0.25
31,콘텐츠,0.32506122448979596,0.23076923076923084
32,예능,0.36000000000000004,0.0
33,편리,0.24843678511514417,-0.37931034482758624
34,로그인,-0.7808817110432126,-0.6842105263157895
35,가입,-0.6413043478260869,-0.25
36,영화,0.3369627507163324,0.0
37,배속,-0.5376407824540606,0.2173913043478261
38,확인,0.03876967095851219,-0.2857142857142858
39,회원,-0.6578947368421053,0.0
40,번역,-0.247585601404741,-0.3333333333333333
41,업데이트,-0.4643847173677233,-0.5555555555555556
42,조절,-0.6765498652291105,-0.040000000000000036
43,회차,-0.17006802721088438,-0.09090909090909094
44,삭제,-0.7604790419161678,-1.0
45,무료,-0.4891640866873066,-0.6666666666666667
46,채널,0.4002478314745973,0.19999999999999996
47,구매,-0.7257525083612041,-0.6363636363636365
48,구독,-0.6640419947506562,-0.5384615384615385
49,중계,0.47687400318979273,0.29032258064516125
50,응원,0.2207792207792208,0.0
51,연동,-0.5674362089914946,-0.8571428571428572
52,동시,0.52,-0.07692307692307693
53,가능,-0.3299897119341564,-0.5
54,환불,-0.7577142857142858,-0.6363636363636365
55,시즌,0.49705535924617195,0.0
56,영어,-0.4367541766109786,-0.3333333333333333
57,팀,0.652058432934927,1.0
58,불편,-0.5595826468973091,-0.4615384615384615
59,고객,-0.743119266055046,-0.3846153846153846
60,오류,-0.7616912235746317,-0.76
61,계정,-0.7872340425531915,-0.5862068965517242
62,영상,-0.5941878567721848,-0.2857142857142858
63,앱,-0.6056040179751521,-1.0
64,프로그램,0.2522522522522523,0.3333333333333333
65,화면,-0.6291622853137049,-0.6000000000000001
66,문제,-0.6117336849044166,-0.8461538461538464
67,라이브,0.2955580865603644,0.0
68,야구,0.3997054491899853,0.3333333333333333
